CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
15678	17453	0.000	15678	0.8414	15678.0	5	 
14336	14667	0.000	14336	0.8975	14336.0	5	 
11303	12809	0.000	11303	0.9298	11303.0	6	 
11443	11465	-28.031	11443	0.9179	11443.0	6	C2H4
11636	12530	0.000	11636	0.9769	11636.0	6	 
11728	12543	0.000	11728	0.9886	11728.0	6	 
12243	12530	0.000	12243	0.9959	12243.0	6	 
11728	18449	0.000	11728	0.9804	11728.0	6	 
16187	17515	0.000	16187	0.8919	16187.0	6	 
14110	18449	0.000	14110	0.9304	14110.0	6	 
12231	12543	0.000	12231	0.997	12231.0	6	 
11443	14852	-28.031	11443	0.8755	11443.0	6	C2H4
16316	17515	0.000	16316	0.8815	16316.0	6	 
12231	15347	0.000	12231	0.9094	12231.0	6	 
11728	12231	0.000	11728	0.9889	11728.0	6	 
12243	13339	18.011	12243	0.9222	12243.0	6	H2O
11636	12243	0.000	11636	0.9776	11636.0	6	 
15347	18449	-0.000	15347	0.9116	15347.0	6	 
11443	14110	-28.031	11443	0.8999	11443.0	6	C2H4
11443	12809	-28.031	11443	0.9272	11443.0	6	C2H4
12231	16547	0.000	12231	0.9483	12231.0	6	 
12231	14110	-0.000	12231	0.9331	12231.0	6	 
11443	12543	-28.031	11443	0.9213	11443.0	6	C2H4
11465	12231	0.000	11465	0.981	11465.0	6	 
15347	16547	0.000	15347	0.8944	15347.0	6	 
11465	15347	0.000	11465	0.9065	11465.0	6	 
11728	12243	-18.010	11728	0.9131	11728.0	6	H2O
12243	12829	0.000	12243	0.9871	12243.0	6	 
12530	12829	0.000	12530	0.9858	12530.0	6	 
11728	12809	0.000	11728	0.9901	11728.0	6	 
11443	11728	-28.031	11443	0.9224	11443.0	6	C2H4
11425	12243	0.000	11425	0.9783	11425.0	6	 
11303	11443	28.031	11303	0.9012	11303.0	6	C2H4
14110	14852	0.000	14110	0.8821	14110.0	6	 
11425	12829	0.000	11425	0.9713	11425.0	6	 
11303	16547	0.000	11303	0.922	11303.0	6	 
11728	16547	0.000	11728	0.9486	11728.0	6	 
16187	17018	0.000	16187	0.8815	16187.0	6	 
11443	12231	-28.031	11443	0.9215	11443.0	6	C2H4
12809	14110	-0.000	12809	0.9377	12809.0	6	 
12809	18449	-0.000	12809	0.9904	12809.0	6	 
11465	12543	0.000	11465	0.9817	11465.0	6	 
12025	17515	1.004	12025	0.883	12025.0	6	isotope_13C:H
11636	12829	0.000	11636	0.9747	11636.0	6	 
11469	11697	0.000	11469	0.7785	11469.0	6	 
12543	18449	-0.000	12543	0.9863	12543.0	6	 
17018	17515	-0.000	17018	0.9084	17018.0	6	 
11425	12530	0.000	11425	0.9756	11425.0	6	 
12543	16547	0.000	12543	0.9474	12543.0	6	 
12543	14110	-0.000	12543	0.9316	12543.0	6	 
11303	11728	0.000	11303	0.9294	11303.0	6	 
11303	12543	0.000	11303	0.9257	11303.0	6	 
12231	12809	0.000	12231	0.9938	12231.0	6	 
11303	18449	0.000	11303	0.9233	11303.0	6	 
11303	14110	0.000	11303	0.918	11303.0	6	 
12543	15347	0.000	12543	0.9102	12543.0	6	 
11303	12231	0.000	11303	0.9284	11303.0	6	 
11303	11465	0.000	11303	0.9243	11303.0	6	 
11425	11636	-0.000	11425	0.9658	11425.0	6	 
12809	15347	0.000	12809	0.9144	12809.0	6	 
11465	18449	0.000	11465	0.9815	11465.0	6	 
11443	16547	-28.031	11443	0.9148	11443.0	6	C2H4
11636	13339	18.011	11636	0.9209	11636.0	6	H2O
12543	12809	0.000	12543	0.9945	12543.0	6	 
11716	12025	0.000	11716	0.8508	11716.0	6	 
12809	16547	0.000	12809	0.9513	12809.0	6	 
11469	12027	0.000	11469	0.8275	11469.0	6	 
11728	14110	-0.000	11728	0.9389	11728.0	6	 
12829	13339	18.010	12829	0.9179	12829.0	6	H2O
11697	12027	0.000	11697	0.8817	11697.0	6	 
12530	13339	18.010	12530	0.9223	12530.0	6	H2O
11465	11728	0.000	11465	0.9773	11465.0	6	 
13339	17515	0.000	13339	0.8593	13339.0	6	 
16547	18449	-0.000	16547	0.9463	16547.0	6	 
12025	12027	-18.010	12025	0.847	12025.0	6	H2O
11425	13339	18.011	11425	0.9102	11425.0	6	H2O
14110	16547	0.000	14110	0.9228	14110.0	6	 
11465	12809	0.000	11465	0.986	11465.0	6	 
11465	14110	0.000	11465	0.9259	11465.0	6	 
11492	11697	-18.010	11492	0.7519	11492.0	6	H2O
11697	11716	18.010	11697	0.7983	11697.0	6	H2O
12231	18449	-0.000	12231	0.985	12231.0	6	 
11716	12027	-18.010	11716	0.8107	11716.0	6	H2O
11465	16547	0.000	11465	0.9434	11465.0	6	 
11303	14852	0.000	11303	0.8821	11303.0	6	 
16316	17018	0.000	16316	0.8918	16316.0	6	 
11492	11716	-0.000	11492	0.8829	11492.0	6	 
16187	16316	0.000	16187	0.8771	16187.0	6	 
11443	18449	-28.031	11443	0.9196	11443.0	6	C2H4
14286	17403	-239.083	14286	0.7404	14286.0	7	 
14286	15711	-222.056	14286	0.8274	14286.0	7	 
17109	17403	-0.000	17109	0.7232	17109.0	7	 
15711	17109	-17.027	15711	0.7802	15711.0	7	adduct_rel_H_NH4 or NH3
14547	17403	-239.083	14547	0.7489	14547.0	7	 
14547	15711	-222.056	14547	0.8333	14547.0	7	 
14286	16261	-17.027	14286	0.7896	14286.0	7	adduct_rel_H_NH4 or NH3
14286	17109	-239.083	14286	0.7768	14286.0	7	 
14286	14547	0.000	14286	0.9853	14286.0	7	 
14547	17109	-239.083	14547	0.7845	14547.0	7	 
15711	17403	-17.027	15711	0.7377	15711.0	7	adduct_rel_H_NH4 or NH3
14547	16261	-17.027	14547	0.7927	14547.0	7	adduct_rel_H_NH4 or NH3
9064	11490	-56.062	9064	0.9359	9064.0	8	C4H8
10729	11490	-28.031	10729	0.9149	10729.0	8	C2H4
11490	11661	0.000	11490	0.9565	11490.0	8	 
9064	10729	-28.031	9064	0.9338	9064.0	8	C2H4
8837	10502	-28.031	8837	0.9241	8837.0	8	C2H4
10502	10729	-0.000	10502	0.9435	10502.0	8	 
8837	9064	0.000	8837	0.9786	8837.0	8	 
9064	11661	-56.061	9064	0.9177	9064.0	8	C4H8
10502	10621	-0.000	10502	0.9459	10502.0	8	 
8837	10729	-28.031	8837	0.9234	8837.0	8	C2H4
10621	11661	-28.030	10621	0.8884	10621.0	8	C2H4
8837	10621	-28.031	8837	0.8921	8837.0	8	C2H4
8837	11661	-56.061	8837	0.9054	8837.0	8	C4H8
10502	11490	-28.031	10502	0.9009	10502.0	8	C2H4
10502	11661	-28.030	10502	0.9043	10502.0	8	C2H4
9064	10502	-28.031	9064	0.9481	9064.0	8	C2H4
9064	10621	-28.031	9064	0.9182	9064.0	8	C2H4
10621	11490	-28.031	10621	0.885	10621.0	8	C2H4
10729	11661	-28.030	10729	0.9165	10729.0	8	C2H4
10621	10729	0.000	10621	0.9532	10621.0	8	 
8837	11490	-56.062	8837	0.9258	8837.0	8	C4H8
19580	19684	0.000	19580	0.9345	19580.0	9	 
19095	19369	0.000	19095	0.9198	19095.0	9	 
19495	19684	0.000	19495	0.9357	19495.0	9	 
19399	19495	0.000	19399	0.9161	19399.0	9	 
19046	19204	-0.000	19046	0.8571	19046.0	9	 
19399	19684	0.000	19399	0.9167	19399.0	9	 
19495	19757	0.000	19495	0.8962	19495.0	9	 
19369	19757	0.000	19369	0.9105	19369.0	9	 
19369	19399	0.000	19369	0.869	19369.0	9	 
19399	19757	0.000	19399	0.8695	19399.0	9	 
18958	19684	0.000	18958	0.9437	18958.0	9	 
60	19369	0.000	60	0.8691	60.0	9	 
19258	19684	0.000	19258	0.9436	19258.0	9	 
60	19580	0.000	60	0.8897	60.0	9	 
19258	19495	0.000	19258	0.9094	19258.0	9	 
19258	19580	0.000	19258	0.9257	19258.0	9	 
18958	19495	0.000	18958	0.9254	18958.0	9	 
18958	19399	0.000	18958	0.9089	18958.0	9	 
60	19399	0.000	60	0.8883	60.0	9	 
19307	19684	0.000	19307	0.9388	19307.0	9	 
18958	19204	0.000	18958	0.894	18958.0	9	 
19258	19307	0.000	19258	0.9303	19258.0	9	 
60	19495	0.000	60	0.895	60.0	9	 
19307	19495	0.000	19307	0.935	19307.0	9	 
19307	19369	0.000	19307	0.8901	19307.0	9	 
19307	19757	0.000	19307	0.8852	19307.0	9	 
60	19204	-0.000	60	0.8778	60.0	9	 
19204	19258	0.000	19204	0.8924	19204.0	9	 
19684	19757	0.000	19684	0.8863	19684.0	9	 
18958	19307	0.000	18958	0.9368	18958.0	9	 
19495	19580	0.000	19495	0.9187	19495.0	9	 
19307	19399	0.000	19307	0.9178	19307.0	9	 
19258	19399	0.000	19258	0.9068	19258.0	9	 
19204	19684	0.000	19204	0.8982	19204.0	9	 
19258	19757	0.000	19258	0.8769	19258.0	9	 
19204	19757	0.000	19204	0.8978	19204.0	9	 
18958	19369	0.000	18958	0.8699	18958.0	9	 
60	19258	0.000	60	0.9179	60.0	9	 
19369	19495	0.000	19369	0.8865	19369.0	9	 
60	19684	0.000	60	0.9024	60.0	9	 
19307	19580	0.000	19307	0.9501	19307.0	9	 
19095	19580	0.000	19095	0.8763	19095.0	9	 
19369	19684	0.000	19369	0.8854	19369.0	9	 
60	19307	0.000	60	0.8947	60.0	9	 
19204	19307	0.000	19204	0.8997	19204.0	9	 
19258	19369	0.000	19258	0.8709	19258.0	9	 
19204	19399	0.000	19204	0.8837	19204.0	9	 
60	18958	-0.000	60	0.8819	60.0	9	 
19204	19580	0.000	19204	0.8865	19204.0	9	 
18958	19580	0.000	18958	0.9317	18958.0	9	 
19369	19580	0.000	19369	0.885	19369.0	9	 
18958	19258	0.000	18958	0.9262	18958.0	9	 
60	19757	0.000	60	0.8615	60.0	9	 
19399	19580	0.000	19399	0.9124	19399.0	9	 
18958	19757	0.000	18958	0.8937	18958.0	9	 
19204	19495	0.000	19204	0.9111	19204.0	9	 
14569	14896	-91.045	14569	0.9364	14569.0	10	 
15724	17858	-222.056	15724	0.9699	15724.0	10	 
11930	13729	19.006	11930	0.8347	11930.0	10	 
16182	16339	0.000	16182	0.865	16182.0	10	 
13729	13877	-17.027	13729	0.933	13729.0	10	adduct_rel_H_NH4 or NH3
15989	16146	75.017	15989	0.8679	15989.0	10	HN3O2:C2H3O3:C5HN:CH3N2O2:C6H3
15989	17963	-74.019	15989	0.9278	15989.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
16146	17963	-149.036	16146	0.8656	16146.0	10	 
15916	17858	74.019	15916	0.8717	15916.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
14896	16783	-296.075	14896	0.9552	14896.0	10	 
15724	17717	-222.056	15724	0.9484	15724.0	10	 
12634	13877	-91.045	12634	0.8653	12634.0	10	 
14283	14569	17.026	14283	0.9559	14283.0	10	adduct_rel_H_NH4 or NH3
15580	15989	0.001	15580	0.8487	15580.0	10	 
15579	17899	-74.019	15579	0.845	15579.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
14896	15387	-74.019	14896	0.976	14896.0	10	C6H2:H2N40:C2H4NO2
11930	12139	0.000	11930	0.8675	11930.0	10	 
17963	18084	0.000	17963	0.9278	17963.0	10	 
13397	13404	-17.027	13397	0.9326	13397.0	10	adduct_rel_H_NH4 or NH3
14558	15724	-222.056	14558	0.9153	14558.0	10	 
15579	15988	0.000	15579	0.8507	15579.0	10	 
16182	16433	75.017	16182	0.8866	16182.0	10	HN3O2:C2H3O3:C5HN:CH3N2O2:C6H3
14283	15724	-222.056	14283	0.9179	14283.0	10	 
11930	13397	19.006	11930	0.8312	11930.0	10	 
14558	16783	-370.094	14558	0.8954	14558.0	10	 
12381	12634	0.000	12381	0.9573	12381.0	10	 
13176	13404	40.961	13176	0.8067	13176.0	10	 
14283	14558	0.000	14283	0.9838	14283.0	10	 
14569	15387	-165.064	14569	0.9153	14569.0	10	 
11930	12634	93.025	11930	0.7651	11930.0	10	 
15989	17798	-74.019	15989	0.8848	15989.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
13397	13877	-17.027	13397	0.9287	13397.0	10	adduct_rel_H_NH4 or NH3
17899	17963	-0.999	17899	0.8703	17899.0	10	isotope_13C:H
16182	17963	-74.019	16182	0.9509	16182.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
15988	17899	-74.019	15988	0.9254	15988.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
16182	17899	-73.020	16182	0.8839	16182.0	10	HN40:C2H3NO2:CH3N3O:C3H5O2
15989	17899	-73.020	15989	0.8512	15989.0	10	HN40:C2H3NO2:CH3N3O:C3H5O2
15825	17858	148.038	15825	0.8893	15825.0	10	 
15580	16182	0.000	15580	0.8638	15580.0	10	 
14283	15387	-148.037	14283	0.9262	14283.0	10	 
14283	14896	-74.019	14283	0.9653	14283.0	10	C6H2:H2N40:C2H4NO2
16167	16338	-74.018	16167	0.8694	16167.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
14558	17858	-444.112	14558	0.874	14558.0	10	 
15825	16338	0.000	15825	0.8769	15825.0	10	 
15988	18030	-74.019	15988	0.8705	15988.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
13397	13729	0.000	13397	0.9875	13397.0	10	 
14268	14558	-17.026	14268	0.9259	14268.0	10	adduct_rel_H_NH4 or NH3
12634	13404	-91.045	12634	0.8633	12634.0	10	 
14569	16783	-387.120	14569	0.8963	14569.0	10	 
12634	13176	-132.006	12634	0.8078	12634.0	10	 
15724	16162	-74.019	15724	0.9856	15724.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
16433	18030	-148.038	16433	0.8709	16433.0	10	 
16146	17899	-148.037	16146	0.9124	16146.0	10	 
13404	13877	-0.000	13404	0.9677	13404.0	10	 
17717	17858	0.000	17717	0.9411	17717.0	10	 
16029	17798	-148.037	16029	0.8442	16029.0	10	 
15825	16146	73.018	15825	0.8533	15825.0	10	C6H:HN40:C2H3NO2:CH3N3O:C3H5O2
15988	16182	-0.999	15988	0.897	15988.0	10	isotope_13C:H
16167	16783	148.038	16167	0.8843	16167.0	10	 
16162	17717	-148.037	16162	0.944	16162.0	10	 
15916	17717	74.019	15916	0.8792	15916.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
15580	16339	0.000	15580	0.8258	15580.0	10	 
16146	16433	0.000	16146	0.9367	16146.0	10	 
15989	16029	74.018	15989	0.8612	15989.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
17798	18084	-0.001	17798	0.8888	17798.0	10	 
15724	16783	-148.037	15724	0.9843	15724.0	10	 
16338	16432	74.018	16338	0.8573	16338.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
14896	15724	-148.038	14896	0.9683	14896.0	10	 
14558	16162	-296.075	14558	0.9001	14558.0	10	 
15580	17963	-74.019	15580	0.8764	15580.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
16167	17717	74.019	16167	0.8872	16167.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
14268	15387	-165.064	14268	0.891	14268.0	10	 
16433	18084	-149.037	16433	0.8559	16433.0	10	 
14558	14896	-74.019	14558	0.9595	14558.0	10	C6H2:H2N40:C2H4NO2
13404	13729	17.027	13404	0.934	13404.0	10	adduct_rel_H_NH4 or NH3
15916	16338	-74.018	15916	0.8689	15916.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
17798	17963	-0.001	17798	0.9045	17798.0	10	 
15988	18084	-75.018	15988	0.8537	15988.0	10	HN3O2:C2H3O3:C5HN:CH3N2O2:C6H3
16339	17963	-74.019	16339	0.8748	16339.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
13729	14283	-91.045	13729	0.8865	13729.0	10	 
17899	18030	-0.000	17899	0.8662	17899.0	10	 
14896	16162	-222.057	14896	0.9564	14896.0	10	 
15989	16182	-0.000	15989	0.9309	15989.0	10	 
15989	16339	-0.000	15989	0.852	15989.0	10	 
17899	18084	-0.999	17899	0.8637	17899.0	10	isotope_13C:H
15825	16162	296.075	15825	0.8883	15825.0	10	 
16162	16783	-74.018	16162	0.9784	16162.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
14283	16783	-370.094	14283	0.8978	14283.0	10	 
16167	17858	74.019	16167	0.8782	16167.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
16433	17899	-148.038	16433	0.9185	16433.0	10	 
17798	17899	0.998	17798	0.845	17798.0	10	isotope_13C:H
15387	17858	-296.075	15387	0.9584	15387.0	10	 
16146	18030	-148.038	16146	0.8695	16146.0	10	 
15825	17717	148.037	15825	0.888	15825.0	10	 
13397	14283	-91.045	13397	0.8784	13397.0	10	 
12139	12381	93.025	12139	0.7692	12139.0	10	 
16029	16339	-74.019	16029	0.8432	16029.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
15988	15989	-0.999	15988	0.8859	15988.0	10	isotope_13C:H
14283	16162	-296.075	14283	0.9039	14283.0	10	 
14896	17858	-370.094	14896	0.9337	14896.0	10	 
14896	17717	-370.094	14896	0.9243	14896.0	10	 
14268	14569	0.000	14268	0.9544	14268.0	10	 
15988	16146	74.018	15988	0.933	15988.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
15825	16167	74.019	15825	0.9105	15825.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
12139	13156	-56.992	12139	0.8015	12139.0	10	 
14569	15030	-74.019	14569	0.8839	14569.0	10	C6H2:H2N40:C2H4NO2
12139	13397	19.006	12139	0.8212	12139.0	10	 
15387	17717	-296.075	15387	0.9447	15387.0	10	 
15825	16433	73.018	15825	0.8633	15825.0	10	C6H:HN40:C2H3NO2:CH3N3O:C3H5O2
15030	16599	-89.065	15030	0.8229	15030.0	10	 
15387	15724	-74.019	15387	0.9831	15387.0	10	C6H2:H2N40:C2H4NO2
12381	13176	-132.006	12381	0.8168	12381.0	10	 
14558	14569	17.026	14558	0.9505	14558.0	10	adduct_rel_H_NH4 or NH3
12381	13877	-91.045	12381	0.8862	12381.0	10	 
14268	14283	-17.026	14268	0.9333	14268.0	10	adduct_rel_H_NH4 or NH3
15580	17798	-74.018	15580	0.8681	15580.0	10	CH2N2O2:C6H2:H2N40:C2H4NO2
16029	18084	-148.038	16029	0.8629	16029.0	10	 
15989	16433	75.017	15989	0.8715	15989.0	10	HN3O2:C2H3O3:C5HN:CH3N2O2:C6H3
14268	15030	-74.019	14268	0.865	14268.0	10	C6H2:H2N40:C2H4NO2
14268	14896	-91.045	14268	0.9131	14268.0	10	 
14569	15724	-239.083	14569	0.91	14569.0	10	 
15988	17798	-75.017	15988	0.8452	15988.0	10	HN3O2:C2H3O3:C5HN:CH3N2O2:C6H3
15916	16167	0.000	15916	0.9145	15916.0	10	 
18030	18084	-0.999	18030	0.8322	18030.0	10	isotope_13C:H
