row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,4_Sel_WT4_ex10.mzML Peak area,1_Sel_WT1_ex10.mzML Peak area,2_Sel_WT2_ex10.mzML Peak area,3_Sel_WT3_ex10.mzML Peak area,6_Sel_delta1_ex10.mzML Peak area,7_Sel_delta2_ex10.mzML Peak area,8_Sel_delta3_ex10.mzML Peak area,11_Sel_WT1_stat10.mzML Peak area,12_Sel_WT2_stat10.mzML Peak area,5_Sel_WT5_ex10.mzML Peak area,10_Sel_delta5_ex10.mzML Peak area,14_Sel_WT4_stat10.mzML Peak area,9_Sel_delta4_ex10.mzML Peak area,13_Sel_WT3_stat10.mzML Peak area,Medium_Blank10.mzML Peak area,16_Sel_delta1_stat10.mzML Peak area,15_Sel_WT5_stat10.mzML Peak area,18_Sel_delta3_stat10.mzML Peak area,19_Sel_delta4_stat10.mzML Peak area,20_Sel_delta5_stat10.mzML Peak area,17_Sel_delta2_stat10.mzML Peak area,Unnamed: 34
3231,154.0863321,1.2283916,,,,,,,,,,,3667.1672,8602.917,3747.618,1096.927,5106.495,1756.7466,29488.809,868.58704,1269.1979,3850.439,22847.168,1628.4012,15977.403,6926.53,39289.03,1454.077,1906.4109,4693.3174,4286.499,5436.7354,8621.042,
4796,154.0864652,2.1109185,,,,,,,,,,,33905.445,132430.16,31083.188,354243.28,11427.771,41259.465,220095.39,107033.25,156167.12,16989.127,148372.38,121273.7,165727.7,42879.07,29193.547,23839.803,9678.276,56570.35,11770.574,146273.56,16038.398,
4896,154.0864895,2.1860478,,,,,,,,,,,35319.73,413630.97,37632.22,1056101.4,30347.596,109340.54,301291.38,130551.06,156927.34,32950.375,196482.84,57526.35,197581.16,47164.69,5350.372,1740.1412,15374.144,8498.088,10834.407,62781.496,8584.98,
5000,154.0864929,2.3212597,,,,,,,,,,,9344.757,55606.754,21793.357,91850.37,23207.988,35037.047,138955.9,32426.758,83823.86,11096.599,91389.32,51504.918,92793.44,6745.0557,20478.7,19871.275,4360.596,26330.203,26165.771,83239.3,25999.012,
18679,154.9752003,13.657832,,,,,,,,,,,6462.475,5392.4585,15575.518,3844.5403,3333.3628,2993.0557,3465.1367,2382.581,4003.9766,8319.233,17959.988,3670.548,6116.5894,4940.4697,10522.195,2738.5833,5812.2666,5993.884,6177.8965,16318.104,7730.8325,
13759,154.990174,9.919114,,,,,,,,,,,384300.16,105139.28,186500.75,204207.56,45528.89,35506.875,35876.75,30304.523,26565.48,41514.457,17665.102,48450.508,11196.661,44276.703,50908.12,12683.381,12241.514,9762.733,15018.072,4953.84,16061.465,
14001,154.9901659,10.015144,,,,,,,,,,,203432.75,409662.84,65569.47,159702.5,11389.43,47638.746,41773.55,24212.13,43708.375,84573.734,51752.57,14620.624,51451.293,24115.967,32349.123,38392.227,11343.777,14728.107,15018.072,7726.0723,34684.08,
14632,154.9901029,10.233659,,,,,,,,,,,116238.96,53712.164,103398.805,117753.52,101553.266,124586.99,43091.293,9375.611,11777.625,142362.11,65085.723,19642.338,55480.793,5229.883,69311.03,25859.674,46078.543,25816.06,12586.453,16218.029,24718.535,
18215,154.9902318,13.334571,,,,96,,,,,,,0,516.0899,0,0,43367.21,42613.508,64853.637,69776.875,45198.723,93056.414,45313.137,69389.78,87644.914,70118.875,4272.627,61148.98,53497.47,64729.82,51926.83,51885.094,78303.29,
13272,154.9902033,9.825682,,,,,,,,,,,219840.61,108491.66,343965.72,70920.12,52303.223,91458.02,54195.34,6501.2324,36586.39,54944.79,38817.16,56501.69,11196.661,20898.346,161308.97,14210.504,9459.2705,4493.6006,13040.834,11945.324,7439.075,
11593,154.9902339,8.884123,,,,,,,,,,,24696.73,121736.41,75165.23,77596.45,16969.707,14746.691,7193.3525,4088.5356,7200.8237,18373.74,15073.537,30835.12,14297.107,19058.969,52285.31,12982.876,24809.441,11041.268,14117.521,11038.775,11285.331,
12241,154.9902098,9.208663,,,,,,,,,,,26303.848,50759.2,91836.89,27255.371,47158.965,4964.4683,6295.1367,26636.367,34396.965,54319.49,31921.227,27448.693,14967.47,13867.115,20014.287,12802.846,7174.5273,24801.635,15307.811,10987.14,28583.965,
11993,154.990233,9.071445,,,,,,,,,,,38640.52,49664.086,61947.09,57987.64,92182.805,13537.79,14566.274,21251.053,48556.977,32380.867,15991.876,24794.57,16116.734,35714.6,22871.852,19728.715,25198.596,26380.268,13011.299,15854.542,9063.494,
18676,154.9902375,13.645595,,,,88,,,,,,,6625814.5,6823963,6889767,6689496.5,6760943.5,6016888.5,6097651.5,5054026,5210838,6273100,6178881.5,6165619,5787509,5551867,6507608,5921871.5,5781128.5,6083539,5623758.5,5698694,6105265.5,
18738,155.0019703,13.666562,,,,,,,,,,,2988.021,9364.807,12678.383,11741.994,13174.096,2201.5417,7011.7896,27439.684,5448.825,12638.011,5320.965,14082.829,9185.121,6419.629,31018.318,10467.619,7902.6245,4720.787,9635.298,5245.136,9204.258,
19087,155.0027572,14.533272,,,,,,,,,,,36619.46,22143.102,13983.604,23747.791,592.09924,0,1282.1416,3037.3896,22348.621,2057.4612,676.5721,467.43927,2301.9385,438.67175,19525.807,1123.8333,306.55554,2842.1782,1254.4773,4986.6807,5004.613,
4451,156.1019118,1.8539144,,,,,,,,,,,17460.836,48500.36,30804.512,12944.596,33726.71,15904.45,109904.31,1511.3223,1428.1423,25398.25,60599.71,1214.2408,22330.436,2752.7827,18789.172,25205.29,20902.414,11161.376,29269.549,9064.407,39251.72,
547,156.1383748,0.40554082,,,,,,,,,,,1980.4268,27802.215,0,3660.4138,41356.16,4458.126,302.78323,0,1773.4647,9921.131,4036.989,360.7433,2105.9243,2443.6006,268349.5,0,0,2371.5386,1889.5088,2452.8657,0,
3061,157.0351302,1.1592869,,,,,,,,,,,88681.03,45017.332,5685.8877,17721.902,47982.914,26864.697,25554.291,28429.793,25156.957,451995.66,17094.264,61095.465,56222.184,24428.32,0,3593.1484,31872.367,1981.8499,1196.1997,1980.1614,12923.094,
2310,157.0351802,0.7978551,,,,,,,,,,,290608.12,47319.906,264773.88,157519.03,120924.484,104596.19,131107.58,168864.03,257573.25,1074698.6,198174.7,210060.78,349813.34,54842.19,0,141567.77,197689.25,22460.201,107554.875,70838.02,31923.8,
3340,157.0351553,1.2655878,,,,,,,,,,,58835.965,22817.627,46580.12,19018.303,21537.84,31983.994,49704.523,42525.473,16637.357,191992.73,17749.885,3145.6982,32619.793,3647.6663,0,7603.6323,27712.158,1190.2529,2509.1948,5698.414,10799.865,
1194,157.0351749,0.46090516,,,,,,,,,,,910760.1,1168969.2,1155135,1054525.6,1398289.1,1138905.9,932316.4,665068.44,928038.25,1012753.1,2136962.8,1532700.5,1846392.4,1431750.9,0,1332514.8,1511704.1,1283941,1619500.8,559154.1,1355492.2,
18999,157.0351986,14.383142,,,,155,,,,,,,0,0,0,0,4042.7578,1768.0952,4244.2993,19253.594,43490.723,4829.164,6272.753,2860.372,27075.81,14798.95,0,3644.5964,1189.7692,12926.844,19516.17,8249.817,7247.359,
1846,157.035214,0.60730904,,,,,,,,,,,500897.62,282658.12,531630.7,268703,1374021.2,215946.14,98575.33,299186.84,68481.22,2209455,124800.49,96691.72,297489.78,154700.56,0,80287.02,92234.07,86382.24,184262.23,139810.31,369432.62,
4795,157.0353636,2.02725,,,,,,,,,,,1008.5089,0,1009.11536,0,579.6628,0,2784.4978,0,744.1427,15731.179,0,0,1790.6726,0,0,0,212.67905,0,0,0,0,
1695,157.5148638,0.57024944,,,,,,,,,,,97262.42,1929.2195,2460.8738,18484.82,5325.073,10726.818,20654.998,4467.24,21013.111,953.9114,3417.0164,9221.651,17925.824,2305.7007,0,0,61080.773,56402.62,2214.608,1317.541,250607.39,
13068,157.9884467,9.539579,,,,,,,,,,,6041.9775,0,0,758.73413,2893.3516,19212.662,0,0,0,0,667.9365,59450.97,0,0,0,381843.16,85046.46,0,0,0,0,
11578,157.9885267,8.848736,,,,,,,,,,,10605.67,9593.645,5022.234,8470.225,2728.9019,11721.725,291.5326,0,665.32654,3309.5503,2438.2974,33177.04,0,0,0,185001.95,77623.68,0,447.16547,584.8444,0,
13436,157.9884495,9.747232,,,,,,,,,,,0,0,0,0,0,5425.042,0,0,0,0,0,11338.127,0,0,0,154212.11,43662.56,0,0,0,0,
11771,157.9884246,8.984812,,,,,,,,,,,26552.299,8310.853,12311.096,11217.755,9048.164,36545.977,682.5227,0,494.41043,2794.1301,2438.2974,32361.953,0,0,0,170773.22,64379.188,0,578.49445,744.11707,0,
12443,157.9883747,9.276517,,,,,,,,,,,1441.3756,1600.4999,2470.8032,2192.9956,8950.491,9747.529,0,0,0,0,6337.511,47026.24,0,0,0,1162100.4,1145675.2,0,1039.9731,0,0,
18615,157.9884906,13.600069,,,,53,,,,,,,517508.8,895354.56,631759,608889,1202740,1003482.25,836977.4,879447.2,938888.9,1123302.1,829167.3,1420780.5,544576.5,1057356,1631179.5,2546839.2,2382743.5,291549.4,670770.6,599224.44,291802.72,
11101,157.9885544,8.435639,,,,,,,,,,,2141.119,4544.4346,839.42346,1073.9452,5290.0005,3172.1394,379.10016,0,276.01984,1331.3907,870.7946,669.11945,0,0,0,68819.64,69621.59,0,0,227.80473,0,
12146,157.9884202,9.218016,,,,,,,,,,,1441.3756,1218.8579,5883.7007,1853.9502,9494.359,9747.529,0,0,0,0,2827.9023,54026.863,0,0,0,238161.06,139306.89,0,0,761.61475,0,
10891,157.9885784,8.130273,,,,,,,,,,,900.7284,2014.5256,1214.5405,382.93408,2726.346,6570.9155,297.85236,0,0,693.35144,480.46567,437.1722,0,0,0,47745.555,25785.316,0,853.3933,0,0,
10778,157.9885578,7.924532,,,,,,,,,,,1726.7551,9292.8,3351.282,1860.0547,2828.6655,8441.935,769.10754,0,0,737.8518,480.46567,3031.0178,0,0,0,51172.406,43107.61,0,0,0,0,
11284,157.9885504,8.569072,,,,,,,,,,,3509.177,12319.677,1853.8955,3342.1118,1277.7974,9197.852,333.94852,0,200.80685,1973.3314,609.934,669.11945,0,0,0,84563.72,58822.727,0,0,300.44083,0,
10997,157.9886073,8.255898,,,,,,,,,,,1747.9703,3186.843,1214.5405,1073.9452,2726.346,6570.9155,326.9389,0,0,2521.2947,483.27148,731.5571,0,0,0,110837.49,57189.45,0,302.34073,0,0,
11363,157.9884986,8.663857,,,,,,,,,,,4473.2197,3609.6643,2134.1619,3342.1118,3369.1235,5251.986,333.94852,0,200.80685,1441.9636,799.625,6654.8926,0,0,0,143552.14,44112.203,0,0,300.44083,0,
10063,157.9886067,7.3138413,,,,,,,,,,,1883.9099,3396.1162,3387.436,1336.3922,12699.317,18147.729,7348.152,0,0,6146.58,280.6739,611.8626,0,0,0,12295.307,45915.938,0,0,0,0,
10222,157.9885538,7.438051,,,,,,,,,,,3432.5461,3517.5674,4780.029,4770.9355,10995.919,46384.277,6188.198,0,0,22046.375,396.5588,611.8626,0,0,0,68217.93,34439.746,0,0,0,0,
10379,157.9885905,7.5877614,,,,,,,,,,,3132.1033,9310.213,3125.6538,2926.5083,10661.611,8597.328,2445.227,0,0,9834.797,332.65393,3769.3423,0,0,0,53605.28,128342.05,0,0,0,0,
10534,157.9885543,7.7288966,,,,,,,,,,,8443.894,10863.605,3471.1562,2117.5579,5032.173,27663.023,1702.7255,0,0,3968.3174,643.9976,2034.6501,0,0,0,64220.65,42957.33,0,0,0,0,
8632,157.9886422,6.3034263,,,,,,,,,,,2629.2676,0,0,3260.8875,22237.033,3809.129,19744.975,0,0,5776.216,0,0,0,0,0,8635.294,12055.858,0,0,0,0,
8878,157.9886498,6.5183387,,,,,,,,,,,15393.616,477.79816,323.26654,5277.3296,16984.791,3311.4812,38775.023,0,0,3842.997,0,0,0,0,0,31632.668,17414.31,0,0,0,0,
9873,157.9886546,7.188848,,,,,,,,,,,10825.96,3396.1162,1129.6333,3887.7637,7457.825,13080.687,2097.8083,0,0,5956.001,280.6739,1259.132,0,0,0,41280.02,25980.97,0,0,0,0,
8517,157.9886914,6.159854,,,,,,,,,,,1754.4695,0,0,1663.7278,19004.523,13334.329,25546.486,0,0,3307.88,0,0,0,0,0,14221.783,6455.9526,0,0,0,0,
8342,157.9886572,6.001877,,,,,,,,,,,16596.523,0,0,697.6643,15438.229,12372.274,24462.844,0,0,6189.6826,0,0,0,0,0,7614.503,9950.306,0,0,0,0,
18733,158.0028667,13.676705,,,,,,,,,,,388701.9,454076.47,428164.4,434810.22,315603.44,380807.12,374104.66,317853.38,386750.38,348362.25,393633.53,403658.4,430251.06,205962.22,416025.5,191929.22,433537.88,299705.12,244363.23,208133.5,456138.56,
4103,158.0028781,1.7010769,,,,,,,,,,,68534.3,109330.56,68842.66,122726.91,45761.234,44483.78,36762.08,10398.407,8106.052,16659.227,133706.81,2751.3682,112879.67,17894.686,172781.11,9582.01,21926.162,17767.355,28227.223,12598.472,90028.96,
6132,158.0030742,3.596555,,,,,,,,,,,135464.38,141636.75,125261.9,124048.82,128928.68,133914.56,88786.13,119053.21,110486.805,1184017.6,135435.67,120906.336,62995.41,120310.375,164764.69,124354.72,123933.56,132291.94,123647.09,117661.82,133444.16,
11969,158.0028445,9.052486,,,,,,,,,,,14745.503,7811.964,7451.2,419.05496,13783.218,524.4005,0,9465.649,880.6808,0,0,8124.6133,419.54846,19472.14,145653.45,459.45593,3133.8672,12251.615,4644.178,8593.8125,6355.883,
10798,158.0029858,8.01472,,,,,,,,,,,2633.6533,56357.99,4950.2676,8115.548,2614.838,4030.6245,5162.406,3960.8843,4734.2324,1802.9435,17886.475,5567.767,4827.3833,2337.8574,104219.53,10466.152,8662.6875,1920.2214,5633.0835,5675.0186,2339.942,
5669,158.0030836,3.0367901,,,,,,,,,,,34655.754,133520.14,129940.18,121646.266,227361.28,124319.07,123913.03,122018.09,112214.71,101667.23,143969.02,122099.48,123532.67,114237.734,156136.72,127756.25,88229.65,132769.36,83744.7,59802.65,140264.97,
19351,158.0811883,14.994552,,,,,,,,,,,5475.9316,22569.875,10773.729,8683.159,24267.594,24085.186,24757.049,6149.1743,4270.2905,10081.902,9656.846,16766.725,20221.102,13134.6875,19220.984,2340.1873,6306.463,6361.0757,12118.239,4913.206,5535.852,
19179,158.0811993,14.752785,,,,,,,,,,,33487.34,48302.586,49954.293,89141.31,13350.072,6189.047,31771.686,75736.4,56602.285,35963.973,80703.59,110129.74,49136.22,99500.984,55702.176,96815.28,80842.66,39839.15,82850.39,45468.703,86611.63,
18892,158.0812007,14.065419,,,,,,,,,,,13679.16,15720.818,18329.057,5053.8765,7276.478,5980.714,10992.821,12429.288,19808.49,40595.94,10083.464,18869.756,29430.793,7769.0903,14812.917,5690.1353,7565.0728,7030.1797,16329.981,22001.557,8487.275,
19270,158.0811925,14.824655,,,,,,,,,,,23174.254,14479.279,25980.822,32320.79,38040.316,95163.2,97939.69,4234.112,2959.836,50916.98,5635.1914,19798.475,12267.959,11727.11,33076.094,18935.656,17805.992,10344.327,7273.21,9520.386,3909.8474,
18847,158.0812336,14.012319,,,,,,,,,,,27489.28,57574.08,48039.117,45527.22,96729,58822.305,27712.223,62996.824,44979.22,69525.984,47560.77,62242.11,51997.14,58906.52,38463.438,43315.523,60929.8,69180.97,37755.31,57360.75,34370.91,
3634,158.0813021,1.3808298,,,,,,,,,,,47908.945,18219.115,24671.416,4033.6523,11878.708,21387.465,13942.679,18009.73,747.52826,599.7055,49893.184,7626.772,14113.482,5404.0635,68792.59,38492.64,32158.895,13009.515,17361.773,6646.3276,44284.92,
14793,158.0963764,10.262858,,,,,,,,,,,72740.945,277405.72,63177.336,42595.703,37244.7,48958.523,15781.764,17583.684,18385.54,10140.802,128062.65,40620.83,37028.766,59777.336,19097.578,66302.7,15853.923,67483.266,64810.023,11361.0625,47718.633,
18058,158.0964838,13.164382,,,,,,,,,,,39028.89,14612.88,15687.819,16825.148,44666.324,14737.402,47666.59,26035.795,2782.9504,11181.516,25973.533,30607.95,18449.314,19954.17,24701.441,18466.895,35634.016,19798.652,58770.582,49040.508,57169.59,
14858,158.0964435,10.361886,,,,,,,,,,,31536.418,69978.29,42363.176,18170.605,35222.043,7051.5786,58204.043,47836.973,21813.215,16576.824,14751.363,30274.492,34650.254,39852.46,395016.25,60835.805,18343.82,18731.219,61242.43,154251.9,50710.38,
17343,158.0964647,12.287642,,,,,,,,,,,10765.2295,29251.2,9392.595,8153.6387,9165.609,3066.683,17672.096,35190.74,30544.94,13004.079,6409.2812,9977.136,13573.665,13151.623,24729.387,9872.047,32372.723,32230.896,13077.964,14361.505,15879.789,
15042,158.0964619,10.435457,,,,,,,,,,,35743.4,27324.893,24043.834,39811.684,7289.788,38581.89,37949.266,31549.975,19325.287,34223.746,17376.14,38575.844,10689.437,44727.805,60669.125,32791.484,6185.496,53477.68,41765.105,46964.844,18510.95,
13494,158.0964392,9.814499,,,,,,,,,,,38957.535,56217.523,34078.227,20024.232,31769.418,55431.88,18189.455,17039.785,17671.758,5867.7974,22942.549,4770.8555,26415.81,16978.81,46528.457,22348.28,27470.879,36986.31,38240.227,55343.605,86807.695,
18383,158.0964682,13.559679,,,,1,,,,,,,46042.914,46136.81,33496.62,43089.254,31959.652,47140.668,37279.664,41058.855,49088.062,32722.975,52940.98,39358.184,27790.086,51918.906,54820.246,23291.582,40855.49,21887.95,32527.107,64374.797,35273.543,
18137,158.0964777,13.216228,,,,,,,,,,,23078.957,33192.414,33674.156,12550.445,24093.06,12777.598,16612.408,19536.22,10543.675,12292.33,24820.463,17944.018,16924.531,13318.375,53858.55,48343.36,48861.99,14308.512,43069.344,102468.08,22314.33,
17676,158.0964744,12.600789,,,,,,,,,,,15546.915,3581.4897,14640.463,7053.3716,12716.017,15401.955,20141.451,19558.275,32061.97,19681.912,19291.62,46215.336,16760.336,25887.277,26564.648,9589.7295,11795.619,38959.18,33642.824,6021.2505,6040.721,
17944,158.0964849,12.949678,,,,,,,,,,,17547.414,50547.723,24830.64,12013.15,36375.004,44102.344,15383.817,23413.285,9072.695,11451.47,18149.105,31274.195,29110.777,47727.11,33522.83,24457.41,43836.367,7653.022,108836.31,45908.844,48278.277,
7678,158.1541258,5.442871,,,,,,,,,,,23104.707,28333.508,28202.271,24586.088,39234.23,40607.613,34180.668,38428.562,53289.703,1927503.8,52876.477,70544.8,37411.117,49865.996,35510.88,66331.305,43475.15,85550.414,47067.547,41669.812,73554.14,
